id	context	predictions	aggregatedPredictions	category
11	As investigators ask that question, activists and academics reflect on a phenomenon that has been documented: Some men who profess to disdain homosexuality have covertly engaged in sex with other men.	[[0.065,0.456,0.373,0.089,0.017]]	[0.065,0.456,0.373,0.089,0.017]	negative
12	Latvia's foreign minister has announced on Twitter that he's gay, becoming the first openly homosexual Cabinet member in the Baltic country.	[[0.1,0.467,0.259,0.133,0.041]]	[0.1,0.467,0.259,0.133,0.041]	negative
13	As Nigeria progressed toward the Women’s World Cup, which begins Sunday in Germany, its coach said that she has used religion in an attempt to rid her team of homosexual behavior.	[[0.111,0.623,0.222,0.032,0.011]]	[0.111,0.623,0.222,0.032,0.011]	negative
14	The administration vowed to combat efforts by other nations that criminalize homosexual conduct.	[[0.068,0.433,0.389,0.09,0.018]]	[0.068,0.433,0.389,0.09,0.018]	negative
15	Germany's justice minister said Wednesday he will draw up legislation to annul the convictions of thousands of gay men under a law criminalizing homosexuality that was applied zealously in post-World War II West Germany.	[[0.146,0.532,0.181,0.101,0.04]]	[0.146,0.532,0.181,0.101,0.04]	negative
16	8 P.M. (Sundance) THE HISTORY BOYS (2006) Two teachers -- Hector (Richard Griffiths), a middle-aged, poetry-spouting, married homosexual who cares deeply about how knowledge is applied to life, and Irwin (Stephen Campbell Moore, above right with Mr. Griffiths), a young Thatcher-era go-getter -- square off over the question of how to interpret history in what Stephen Holden, writing in The New York Times, called a ''ferociously engaging'' screen adaptation of Alan Bennett's Tony Award-winning play. ''	[[0.278,0.441,0.096,0.078,0.106]]	[0.278,0.441,0.096,0.078,0.106]	negative
17	Dr. Spitzer's admission that his study was deeply flawed should discredit, once and for all, those claims of social and religious conservatives that homosexuality is not a fundamental part of human identity.	[[0.349,0.447,0.152,0.032,0.02]]	[0.349,0.447,0.152,0.032,0.02]	negative
18	In a memorandum issued by President Obama in Washington and in a speech by Secretary of State Hillary Rodham Clinton here, the administration vowed to actively combat efforts by other nations that criminalize homosexual conduct, abuse gay men, lesbians, bisexuals or transgendered people, or ignore abuse against them.	[[0.262,0.504,0.206,0.016,0.012]]	[0.262,0.504,0.206,0.016,0.012]	negative
19	A Pennsylvania Chick-fil-A’s decision to sponsor a February marriage seminar by a group that has been outspoken against homosexuality has caused an outcry in the gay community.	[[0.1,0.485,0.273,0.113,0.029]]	[0.1,0.485,0.273,0.113,0.029]	negative
20	Since Nigeria’s president signed a law criminalizing homosexuality, arrests of gay people have multiplied and demands for a crackdown have flourished.	[[0.121,0.65,0.218,0.007,0.004]]	[0.121,0.65,0.218,0.007,0.004]	negative
21	It took&#160;less than a&#160;minute&#160;for a panel of&#160;judges&#160;in Senegal&#160;to&#160;sentence&#160;seven men&#160;to six months in prison for homosexuality last week, but campaigners&#160;say the harm to the African nation's anti-HIV efforts could last much longer.	[[0.151,0.517,0.26,0.05,0.022]]	[0.151,0.517,0.26,0.05,0.022]	negative
22	Earlier this week, Carl P. Paladino, the Republican candidate for New York governor, defended comments he had made criticizing homosexuality, including some in which he said the city's gay pride parade was not a place for children -- he said the parade featured participants "grinding at each other and doing these gyrations," something he called "disgusting."	[[0.269,0.587,0.126,0.009,0.009]]	[0.269,0.587,0.126,0.009,0.009]	negative
23	As president of the American Psychiatric Association, Dr. Freedman helped bring an end to the policy declaring homosexuality a mental illness.	[[0.081,0.565,0.208,0.125,0.021]]	[0.081,0.565,0.208,0.125,0.021]	negative
24	From pulpits in Orlando and beyond, church leaders are reckoning with religious views often hostile to homosexuality after a gunman killed 49 people at a gay nightclub, with some wondering if they are contributing to breeding contempt.	[[0.138,0.627,0.206,0.021,0.008]]	[0.138,0.627,0.206,0.021,0.008]	negative
25	The president of Gambia has signed a bill into law that calls for life imprisonment for some homosexual acts, the latest African country to codify harsh penalties for the gay community.	[[0.143,0.649,0.161,0.034,0.014]]	[0.143,0.649,0.161,0.034,0.014]	negative
26	President Vladimir Putin is using the Sochi Games to denigrate homosexuals.	[[0.126,0.601,0.191,0.058,0.024]]	[0.126,0.601,0.191,0.058,0.024]	negative
27	Kenneth L. Miller was charged with abetting international kidnapping in a case involving same-sex unions and conservative Christian opposition to homosexuality.	[[0.009,0.039,0.41,0.492,0.049]]	[0.009,0.039,0.41,0.492,0.049]	positive
28	In a Latin American prison, an emotional relationship evolves between a homosexual prone to flights of fantasy and his cellmate, a political radical.	[[0.033,0.179,0.17,0.566,0.051]]	[0.033,0.179,0.17,0.566,0.051]	positive
29	Friday's referendum asking voters to approve gay marriage is the latest landmark in decades of struggle for Ireland's homosexual minority to gain greater rights and respect.	[[0.063,0.4,0.354,0.158,0.025]]	[0.063,0.4,0.354,0.158,0.025]	negative
30	Homosexuals can attend a Catholic family congress in Philadelphia during Pope Francis' U.S. visit this year but won't be allowed to use it to attack Church teachings, the city's archbishop said on Thursday.	[[0.244,0.524,0.184,0.026,0.022]]	[0.244,0.524,0.184,0.026,0.022]	negative
31	South African retired Archbishop Desmond Tutu joined them by phone, pointing out similarities between Uganda's Anti-Homosexuality Bill and racist laws enforced under South Africa's former apartheid government.	[[0.241,0.577,0.151,0.018,0.013]]	[0.241,0.577,0.151,0.018,0.013]	negative
32	President Yoweri Museveni moved forward with a bill that would criminalize the promotion or recognition of homosexual relations.	[[0.092,0.32,0.208,0.275,0.104]]	[0.092,0.32,0.208,0.275,0.104]	negative
33	Thousands of men convicted under now-abolished anti-homosexuality laws in Britain have been pardoned posthumously under a law enacted on Tuesday, and many more still alive can now apply to have their criminal convictions wiped out.	[[0.185,0.577,0.193,0.028,0.017]]	[0.185,0.577,0.193,0.028,0.017]	negative
34	The United States is set to announce additional measures against Uganda in response to a law that imposes harsh penalties for homosexuality, senior administration officials said on Thursday.	[[0.202,0.599,0.17,0.018,0.011]]	[0.202,0.599,0.17,0.018,0.011]	negative
35	Ugandan lawmakers who want to impose the death penalty for homosexuality are building support by tapping the resentment against the perceived meddling of Western nations.	[[0.131,0.599,0.224,0.031,0.015]]	[0.131,0.599,0.224,0.031,0.015]	negative
36	The gay journalist Jeff Chu traveled across the country to meet with preachers, pastors and ministers who fall all over the map when it comes to the issue of homosexuality.	[[0.076,0.577,0.295,0.042,0.01]]	[0.076,0.577,0.295,0.042,0.01]	negative
37	Many opponents of giving equal rights and protections to gay Americans -- at the workplace, in the military, in marrying and forming families -- make the claim that homosexuality is a chosen way of life.	[[0.241,0.625,0.09,0.022,0.022]]	[0.241,0.625,0.09,0.022,0.022]	negative
38	Missouri All-American Michael Sam says he is gay, and the defensive end could become the first openly homosexual player in the NFL.	[[0.191,0.665,0.124,0.011,0.008]]	[0.191,0.665,0.124,0.011,0.008]	negative
39	Russian lawmakers say the law doesn't outlaw homosexuality but merely discourages discussion of it among people younger than 18.	[[0.017,0.197,0.7,0.079,0.006]]	[0.017,0.197,0.7,0.079,0.006]	neutral
40	The issue of homosexuality has been a contentious issue,'' said a human rights activist, Undule Mwakasungula. ''	[[0.074,0.426,0.256,0.214,0.031]]	[0.074,0.426,0.256,0.214,0.031]	negative
41	Catholic bishops signaled a radical shift in tone Monday about accepting gays into the church, saying they had gifts to offer and that their partnerships, while morally problematic, provided homosexual couples with "precious" support.	[[0.167,0.655,0.146,0.02,0.012]]	[0.167,0.655,0.146,0.02,0.012]	negative
42	Originally titled the law on "homosexual propaganda," the bill criminalizes public expression of support for nontraditional relationships.	[[0.177,0.606,0.187,0.018,0.011]]	[0.177,0.606,0.187,0.018,0.011]	negative
43	If you or someone you know was convicted in Britain under old laws against homosexuality, The New York Times would like to hear your story.	[[0.077,0.581,0.273,0.059,0.009]]	[0.077,0.581,0.273,0.059,0.009]	negative
44	Texas Governor Rick Perry, a Republican presidential aspirant whose 2012 campaign was sunk partly because of verbal slips, has compared homosexuality to alcoholism, coming under fire again for an argument he has made previously.	[[0.368,0.529,0.074,0.012,0.017]]	[0.368,0.529,0.074,0.012,0.017]	negative
45	The gay dating app Scruff is starting to alert users when they’re in a country where homosexuality is against the law.	[[0.059,0.516,0.358,0.056,0.01]]	[0.059,0.516,0.358,0.056,0.01]	negative
46	Now, he's speaking out about his travails to persuade British legislators to engage Nigerian policy makers about a law that makes even befriending a homosexual a crime punishable by 10 years in jail.	[[0.065,0.507,0.396,0.025,0.007]]	[0.065,0.507,0.396,0.025,0.007]	negative
47	The mayor of Sochi, the Russian city hosting the Winter Olympics next month, said homosexuality was not accepted in his Caucasus region, but that gay visitors would be welcome at the Games if they respected Russian laws.	[[0.351,0.511,0.098,0.016,0.024]]	[0.351,0.511,0.098,0.016,0.024]	negative
48	The Archdiocese of St. Louis is scaling back ties with the Scouts because of the organization’s support for transgender rights, homosexuality and other issues.	[[0.17,0.642,0.144,0.029,0.016]]	[0.17,0.642,0.144,0.029,0.016]	negative
49	Singapore has decided not to proceed with the pulping of two children's books judged to be pro-homosexual after a flood of complaints about censorship.	[[0.055,0.308,0.434,0.167,0.037]]	[0.055,0.308,0.434,0.167,0.037]	neutral
50	The author of Uganda's new anti-gay bill that imposes tough jail terms for homosexual acts said aid cuts imposed by disapproving Western donors were a price worth paying to protect the east African nation's moral values.	[[0.131,0.62,0.188,0.044,0.017]]	[0.131,0.62,0.188,0.044,0.017]	negative
51	Dozens of Kenyans rallied in Nairobi on Monday against homosexuality and a lawmaker said U.S. President Barack Obama should not push a pro-gay agenda when he visits the country later this month.	[[0.256,0.638,0.091,0.006,0.008]]	[0.256,0.638,0.091,0.006,0.008]	negative
52	Uganda, under fire from Western nations, defended its toughened law on gays on Thursday as being aimed at "protecting" youth from homosexuality and discouraging public displays of gay love.	[[0.156,0.567,0.238,0.026,0.013]]	[0.156,0.567,0.238,0.026,0.013]	negative
53	Activists have praised the U.S. government's decision to remove Gambia from a trade agreement in response to human rights abuses, including a law signed in October that imposes life imprisonment for some homosexual acts.	[[0.086,0.474,0.34,0.077,0.023]]	[0.086,0.474,0.34,0.077,0.023]	negative
54	But, oh, I was cautioned, it was not the gay march, it was the homosexual march."	[[0.182,0.711,0.09,0.01,0.007]]	[0.182,0.711,0.09,0.01,0.007]	negative
55	The imam, Sheik Abdallah Adhami, who stirred controversy shortly after his appointment by telling a reporter for NY1 News that most homosexual behavior was linked to early childhood abuse, said in a statement that he was giving up his role in the project, known as Park51, to devote more time to completing a book.	[[0.574,0.349,0.05,0.007,0.019]]	[0.574,0.349,0.05,0.007,0.019]	very negative
56	Many gays and lesbians flinch at the word homosexual.	[[0.059,0.414,0.362,0.139,0.026]]	[0.059,0.414,0.362,0.139,0.026]	negative
57	President Barack Obama warned Uganda Sunday over its plans to further criminalize homosexuality, saying it would "complicate our valued relationship."	[[0.178,0.545,0.254,0.013,0.01]]	[0.178,0.545,0.254,0.013,0.01]	negative
58	Because of an editing error, an opinion essay on Nov. 27 about Arthur H. Vandenberg Jr., a former Republican official, incorrectly described Dwight D. Eisenhower's status in December 1952, when the F.B.I. director, J. Edgar Hoover, told Eisenhower that Vandenberg was a homosexual.	[[0.301,0.481,0.191,0.015,0.012]]	[0.301,0.481,0.191,0.015,0.012]	negative
59	Hundreds of gay rights activists marched in a parade in New Delhi on Sunday, highlighting the continuing discrimination India's LGBT community faces and demanding the repeal of a law criminalizing homosexual acts.	[[0.248,0.59,0.123,0.021,0.018]]	[0.248,0.59,0.123,0.021,0.018]	negative
60	The exhibition, at the National Portrait Gallery in Washington, is titled ''Hide/Seek: Difference and Desire in American Portraiture'' and is devoted to representations of homosexual desire in American art.	[[0.289,0.558,0.119,0.017,0.018]]	[0.289,0.558,0.119,0.017,0.018]	negative
61	Before same-sex marriage grabbed the spotlight, pastors in Northern California were fighting rules barring ordination and marriage of homosexuals, an effort that has spread nationwide.	[[0.14,0.655,0.144,0.045,0.016]]	[0.14,0.655,0.144,0.045,0.016]	negative
62	A demonstration against homosexuality in Kenya fizzled Monday after attracting only a handful of protesters.	[[0.132,0.673,0.164,0.021,0.01]]	[0.132,0.673,0.164,0.021,0.01]	negative
63	In an interview published Friday by military.com, Gen. James Conway, who opposes a change in policy, said, ''I would not ask our Marines to live with someone who is homosexual if we can possibly avoid it.''	[[0.285,0.526,0.152,0.019,0.017]]	[0.285,0.526,0.152,0.019,0.017]	negative
64	A large study of gay brothers adds to evidence that genes influence men's chances of being homosexual, but the results aren't strong enough to prove it.	[[0.077,0.443,0.37,0.088,0.02]]	[0.077,0.443,0.37,0.088,0.02]	negative
65	But in Russia, the phrase is current: This week lawmakers have been talking of banning "propaganda of homosexuality" - whatever the phrase may mean.	[[0.109,0.631,0.241,0.014,0.005]]	[0.109,0.631,0.241,0.014,0.005]	negative
66	An appraisal on Dec. 31 about David Levine, the caricaturist for The New York Review of Books who died on Dec. 29, may have left the incorrect impression that the Russian writer Aleksandr Pushkin, the subject of one of Mr. Levine’s drawings, was homosexual.	[[0.421,0.474,0.087,0.005,0.012]]	[0.421,0.474,0.087,0.005,0.012]	negative
67	Ireland has begun counting ballots from its referendum to legalize homosexual marriage, and political observers say the first ballot boxes opened point to a victory for gay rights.	[[0.3,0.575,0.112,0.006,0.007]]	[0.3,0.575,0.112,0.006,0.007]	negative
68	The U.N. Human Rights Council on Friday appointed its first independent investigator to help protect homosexual and transgender people worldwide from violence and discrimination.	[[0.081,0.627,0.257,0.027,0.007]]	[0.081,0.627,0.257,0.027,0.007]	negative
69	Paul Thek was a practicing Catholic and renegade homosexual, a lover of the photographer Peter Hujar and companion to Susan Sontag (who dedicated ''Against Interpretation'' to Thek), a sculptor and creator of immersive environments so devoted to the ephemeral in art that his major works were lost and his reputation eclipsed within his lifetime.	[[0.022,0.061,0.133,0.617,0.167]]	[0.022,0.061,0.133,0.617,0.167]	positive
70	The singer was sued by antigay groups who contended that during a concert in August she violated a local law against advocating homosexuality.	[[0.209,0.614,0.142,0.02,0.014]]	[0.209,0.614,0.142,0.02,0.014]	negative
71	Nance, or nancy boy, is disparaging slang for an effeminate or homosexual man, and nances were popular theatrical figures, akin to blackface performers, during the 1920s and '30s.	[[0.336,0.573,0.063,0.01,0.018]]	[0.336,0.573,0.063,0.01,0.018]	negative
72	Ugandan President Yoweri Museveni has put a bill imposing strict penalties for homosexuality on hold to give scientists a chance to prove that homosexuality could be triggered by genes and is not a "lifestyle choice".	[[0.398,0.486,0.096,0.008,0.012]]	[0.398,0.486,0.096,0.008,0.012]	negative
73	International gay rights campaigners are using branded clothing inspired by the Olympic movement's own values to show their opposition to Russian laws on homosexuality ahead of the Sochi Games.	[[0.109,0.492,0.208,0.142,0.049]]	[0.109,0.492,0.208,0.142,0.049]	negative
74	A German court fined the father and two uncles of an 18-year-old Muslim citizen for depriving him of his personal freedom when he was a minor in an attempt, the victim says, to force him into marriage with a woman despite his homosexuality.	[[0.17,0.638,0.174,0.01,0.007]]	[0.17,0.638,0.174,0.01,0.007]	negative
75	Changes to the church’s handbook prevent the children of gay parents from being baptized until they are 18 and have disavowed homosexual relationships.	[[0.049,0.273,0.34,0.286,0.052]]	[0.049,0.273,0.34,0.286,0.052]	neutral
76	The U.S. and others should make clear to Uganda that if it passes a law imposing the death sentence for homosexual behavior, it will be shunned globally.	[[0.155,0.632,0.143,0.05,0.021]]	[0.155,0.632,0.143,0.05,0.021]	negative
77	A British man who had been jailed in Morocco because of homosexual images found on his smartphone has been freed and returned to Britain.	[[0.107,0.62,0.211,0.049,0.013]]	[0.107,0.62,0.211,0.049,0.013]	negative
78	A white nationalist Trump supporter is apologizing for a robo call in Utah where he called independent presidential candidate Evan McMullin a "closet homosexual" and "open borders amnesty supporter."	[[0.186,0.506,0.288,0.011,0.01]]	[0.186,0.506,0.288,0.011,0.01]	negative
79	Russian President Vladimir V. Putin has declared war on homosexuals.	[[0.07,0.47,0.347,0.094,0.019]]	[0.07,0.47,0.347,0.094,0.019]	negative
80	President Yoweri Museveni signed into law a controversial bill that introduces lengthy prison sentences for “the promotion or recognition” of homosexual relations.	[[0.23,0.622,0.11,0.021,0.018]]	[0.23,0.622,0.11,0.021,0.018]	negative
81	The British politician revived the fortunes of the Liberal Party, but his career was destroyed by allegations of a murder conspiracy conceived to cover up a homosexual relationship.	[[0.141,0.689,0.149,0.013,0.008]]	[0.141,0.689,0.149,0.013,0.008]	negative
82	But if the policy were reinstated, he would not demand the expulsion of service members who have disclosed their homosexuality since the policy was repealed in September.	[[0.1,0.631,0.243,0.019,0.006]]	[0.1,0.631,0.243,0.019,0.006]	negative
83	Police arrested about 20 people as attackers hurled eggs and paint at gay rights advocates who gathered in Moscow to protest a bill that outlaws “homosexual propaganda.”	[[0.139,0.613,0.226,0.015,0.008]]	[0.139,0.613,0.226,0.015,0.008]	negative
84	Proponents of a boycott of the Salvation Army say people often know little about the organization’s evangelical Christianity and its opposition to homosexuality.	[[0.077,0.543,0.293,0.069,0.018]]	[0.077,0.543,0.293,0.069,0.018]	negative
85	Just over 25 years since Britain's powerful domestic spy agency dropped a ban on hiring homosexuals, MI5 was hailed on Tuesday as the country's most gay-friendly employer.	[[0.07,0.513,0.25,0.142,0.026]]	[0.07,0.513,0.25,0.142,0.026]	negative
86	Carl P. Paladino said on Sunday that children should not be “brainwashed” into accepting homosexuality.	[[0.083,0.509,0.319,0.07,0.019]]	[0.083,0.509,0.319,0.07,0.019]	negative
87	An appeals court has ruled that an Alabama law criminalizing consensual homosexual conduct is unconstitutional.	[[0.069,0.199,0.129,0.456,0.147]]	[0.069,0.199,0.129,0.456,0.147]	positive
88	To round out my comments on gay marriage, I'm going start by taking up the second half of Andrew Sullivan's criticism of my original column, because that's where you'll find his most powerful argument: Namely, that opponents of gay marriage are ignoring the reality of gay lives, the integration of gay couples into mainstream American culture, and the fact that homosexuality isn't going to (and shouldn't have to) slip back into some kind of closet in order to keep lifelong heterosexual monogamy safely on its pedestal.	[[0.627,0.298,0.062,0.003,0.01]]	[0.627,0.298,0.062,0.003,0.01]	very negative
89	After the Ugandan president signaled that he was likely to sign a bill to criminalize homosexuality, President Obama on Sunday warned that the measure could harm ties with the United States.	[[0.229,0.578,0.171,0.012,0.01]]	[0.229,0.578,0.171,0.012,0.01]	negative
90	Human rights advocates say that three U.S. evangelicals helped set the stage for a bill to execute homosexuals.	[[0.053,0.485,0.411,0.042,0.008]]	[0.053,0.485,0.411,0.042,0.008]	negative
91	There is one corner of one realm it seems -- one frequented by the same age group that struggles with bullying and exclusion -- where homosexuality is just another matter-of-fact option.	[[0.125,0.578,0.197,0.083,0.017]]	[0.125,0.578,0.197,0.083,0.017]	negative
92	Scores of Ugandan homosexuals marched through sprawling botanical gardens in the lakeside town of Entebbe on Saturday, their first pride parade since a Ugandan court invalidated a controversial anti-gay law.	[[0.213,0.611,0.16,0.008,0.008]]	[0.213,0.611,0.16,0.008,0.008]	negative
93	Gambia's National Assembly has passed a bill imposing life imprisonment for some homosexual acts, officials said Monday, potentially worsening the climate for sexual minorities in a country with one of Africa's most vocal anti-gay leaders.	[[0.265,0.595,0.118,0.011,0.011]]	[0.265,0.595,0.118,0.011,0.011]	negative
94	Lessons to teach acceptance of homosexuality, which have gained urgency after suicides, are causing culture wars.	[[0.086,0.578,0.262,0.057,0.016]]	[0.086,0.578,0.262,0.057,0.016]	negative
95	Gay visitors and locals are carving out a retreat in Siem Reap, where the concept of homosexuality seemed nonexistent until recently.	[[0.212,0.609,0.147,0.019,0.013]]	[0.212,0.609,0.147,0.019,0.013]	negative
96	And he has famously parsed centuries of thought on homosexuality into a five-word quip: "Who am I to judge?"	[[0.04,0.439,0.429,0.083,0.009]]	[0.04,0.439,0.429,0.083,0.009]	negative
97	A Senegalese activist and a rights group on Friday called for the release of seven men arrested in July and sentenced to six months in prison for homosexual acts.	[[0.134,0.597,0.176,0.066,0.027]]	[0.134,0.597,0.176,0.066,0.027]	negative
98	From 1949 to 1969, under a law inherited from the Nazi regime, some 50,000 men were convicted of homosexuality, and many served prison terms.	[[0.2,0.589,0.189,0.014,0.009]]	[0.2,0.589,0.189,0.014,0.009]	negative
99	&ME tells the story of Edward, a homosexual, disillusioned lawyer who exchanges his life in Berlin for a new start as a senior official at the European Parliament in Brussels and Edurne, the idealistic intern from Spain, who has just escaped the gr	[[0.094,0.302,0.24,0.281,0.083]]	[0.094,0.302,0.24,0.281,0.083]	negative
100	In “Oddly Normal,” John Schwartz details his family’s efforts to help his son Joseph as he declared his homosexuality.	[[0.168,0.494,0.231,0.068,0.038]]	[0.168,0.494,0.231,0.068,0.038]	negative
101	More than 2,000 gay rights supporters protested in Amsterdam's largest square Sunday, carrying signs, singing songs and chanting slogans to condemn the Russian government's homosexuality policies.	[[0.27,0.631,0.077,0.01,0.013]]	[0.27,0.631,0.077,0.01,0.013]	negative
102	The Roman Catholic Church must be less judgmental of homosexuals and, while still opposing gay marriage, should welcome children of gay couples into the faith with equal dignity, a Vatican document said on Thursday.	[[0.163,0.556,0.187,0.061,0.033]]	[0.163,0.556,0.187,0.061,0.033]	negative
103	Residents in the Senegalese town of Kaolack say police have arrested 11 people accused of homosexual acts.	[[0.08,0.571,0.284,0.05,0.015]]	[0.08,0.571,0.284,0.05,0.015]	negative
104	In an appeal to hard-right conservatives, Gov. Rick Perry of Texas is broadcasting a new campaign ad that seems to contrast Christianity with homosexuality, vows to end what he calls ''Obama's war on religion,'' and highlights Mr. Perry's criticism of overturning the ''don't ask, don't tell'' policy for gays serving in the military. ''	[[0.17,0.63,0.156,0.031,0.012]]	[0.17,0.63,0.156,0.031,0.012]	negative
105	Whether he is celibate or not, the person who views himself as a 'homosexual person,' rather than as a person called to be a spiritual father -- that person should not be a priest.	[[0.072,0.529,0.368,0.026,0.006]]	[0.072,0.529,0.368,0.026,0.006]	negative
106	Gay rights groups are cautiously cheering a shift in tone from the Catholic Church toward homosexuals, encouraged that Pope Francis' famous "Who am I to judge?"	[[0.108,0.582,0.276,0.025,0.009]]	[0.108,0.582,0.276,0.025,0.009]	negative
107	Roman Catholic bishops on Saturday reversed a historic acceptance of gays, dropping parts of a controversial document that had talked more positively of homosexuals than ever before in Church history.	[[0.261,0.622,0.1,0.009,0.008]]	[0.261,0.622,0.1,0.009,0.008]	negative
108	The priest, Msgr. Krzysztof Charamsa, came out as gay and called for changes in Roman Catholic teachings against homosexual activity.	[[0.222,0.592,0.115,0.037,0.035]]	[0.222,0.592,0.115,0.037,0.035]	negative
109	In professional sports, where slurs are still tolerated, acting as if your homosexuality was never a secret is a bold counteroffensive move.	[[0.075,0.234,0.283,0.345,0.062]]	[0.075,0.234,0.283,0.345,0.062]	positive
110	William Johnson says he believes Mr. McMullin, who is running close to Donald J. Trump in Utah, is “a closet homosexual.”	[[0.046,0.442,0.477,0.028,0.007]]	[0.046,0.442,0.477,0.028,0.007]	neutral
111	Germany plans to annul the historic convictions of tens of thousands of men charged under a law that criminalized homosexuality and to grant them financial compensation, the justice minister said on Wednesday.	[[0.171,0.636,0.162,0.021,0.01]]	[0.171,0.636,0.162,0.021,0.01]	negative
112	An independent presidential candidate Evan McMullin criticized Republican Donald Trump on Monday over an automated call in Utah from a white nationalist supporter who calls McMullin a "closet homosexual" and "open-borders amnesty supporter."	[[0.21,0.522,0.237,0.018,0.013]]	[0.21,0.522,0.237,0.018,0.013]	negative
113	The play, which had its premiere in 1907, initially courted controversy with its depiction of homosexuality.	[[0.119,0.527,0.227,0.094,0.033]]	[0.119,0.527,0.227,0.094,0.033]	negative
114	Reviewing the film for The Times, Stephen Holden called it "an acutely observed examination of strait-laced parents trying to deny a child's homosexuality while all the time knowing better."	[[0.117,0.623,0.211,0.035,0.014]]	[0.117,0.623,0.211,0.035,0.014]	negative
115	The reaction was swift when Lavender Magazine, a biweekly for Minneapolis's gay and lesbian community, reported in its current issue that an outspokenly anti-homosexual local pastor attended a support group for people who want to remain chaste despite same-sex attraction.	[[0.194,0.673,0.111,0.013,0.008]]	[0.194,0.673,0.111,0.013,0.008]	negative
116	Pope Francis said on Sunday that Christians and the Roman Catholic Church should seek forgiveness from homosexuals for the way they had treated them.	[[0.093,0.483,0.269,0.12,0.036]]	[0.093,0.483,0.269,0.12,0.036]	negative
117	For years, George A. Rekers has testified against homosexuality.	[[0.041,0.392,0.413,0.14,0.014]]	[0.041,0.392,0.413,0.14,0.014]	neutral
118	In an appeal to hard-right conservatives, Gov. Rick Perry of Texas is broadcasting a new campaign ad that seems to contrast Christianity with homosexuality, vows to end what he calls "Obama's war on religion," and highlights Mr. Perry's criticism of overturning the "don't ask, don't tell" policy for gays serving in the military.	[[0.171,0.635,0.152,0.03,0.012]]	[0.171,0.635,0.152,0.03,0.012]	negative
119	Pope Francis said on Sunday that homosexuals and transsexuals should be treated with respect but that teaching gender theory is unacceptable "indoctrination" of young people.	[[0.159,0.597,0.188,0.037,0.019]]	[0.159,0.597,0.188,0.037,0.019]	negative
120	And earlier this week the artist AA Bronson wrote to the director of the National Portrait Gallery, a Smithsonian museum, to ask that the gallery remove one of his works from the exhibition, ''Hide/Seek: Difference and Desire in American Portaiture,'' which explores homosexual themes, The Washington Post reported.	[[0.112,0.445,0.247,0.166,0.03]]	[0.112,0.445,0.247,0.166,0.03]	negative
121	A working paper for a Vatican meeting on the family indicated on Tuesday that organizers do not want the issue of how the Church should reach out to homosexual couples to be a key topic.	[[0.11,0.576,0.22,0.072,0.022]]	[0.11,0.576,0.22,0.072,0.022]	negative
122	A proposed law in Kazakhstan that would criminalize dissemination to minors of information supporting homosexual relationships has been struck down as unconstitutional.	[[0.232,0.584,0.158,0.014,0.013]]	[0.232,0.584,0.158,0.014,0.013]	negative
