id	context	predictions	aggregatedPredictions	category
14	The mayor of Charlotte, North Carolina, refused on Monday to back off an ordinance that had aimed to expand anti-discrimination protections for gay and transgender people in the state's largest city but also sparked a controversial state law.	[[0.308,0.533,0.107,0.024,0.028]]	[0.308,0.533,0.107,0.024,0.028]	negative
15	A landmark Utah proposal protecting gay and transgender individuals passed its first test at the state Legislature on Thursday when a Republican-controlled Senate committee offered its unanimous and at times emotional support of the measure.	[[0.121,0.583,0.215,0.059,0.022]]	[0.121,0.583,0.215,0.059,0.022]	negative
16	North Carolina’s transgender restroom measure proved disastrous.	[[0.071,0.377,0.326,0.183,0.044]]	[0.071,0.377,0.326,0.183,0.044]	negative
17	The General Assembly will hold a special session to consider blocking a city ordinance that would broaden protections for gay and transgender people.	[[0.132,0.639,0.178,0.037,0.013]]	[0.132,0.639,0.178,0.037,0.013]	negative
18	An Iowa church is dropping its lawsuit against the state and the city of Des Moines over an antidiscrimination law that church officials believed could force them to abide by transgender bathroom rules.	[[0.343,0.551,0.087,0.007,0.011]]	[0.343,0.551,0.087,0.007,0.011]	negative
19	The U.S. Justice Department says in a court filing that transgender students must be allowed to use the restroom that corresponds with their gender identity.	[[0.155,0.662,0.162,0.014,0.008]]	[0.155,0.662,0.162,0.014,0.008]	negative
20	Police said Thursday they had obtained murder arrest warrants for four people in the death of a transgender man beaten last month at a homeless encampment.	[[0.05,0.366,0.54,0.035,0.009]]	[0.05,0.366,0.54,0.035,0.009]	neutral
21	The guitarist’s bandleader, Bruce Springsteen, called off the show in North Carolina because of its new law on gay and transgender rights.	[[0.251,0.504,0.154,0.05,0.041]]	[0.251,0.504,0.154,0.05,0.041]	negative
22	A judge won't dismiss a lawsuit filed on behalf of a transgender embalmer who was fired by a Detroit-area funeral home after disclosing that she was transitioning from male to female and would dress as a woman.	[[0.117,0.585,0.226,0.055,0.016]]	[0.117,0.585,0.226,0.055,0.016]	negative
23	President Barack Obama plans to sign executive orders Monday prohibiting discrimination against gay and transgender workers in the federal government and its contracting agencies, without a new exemption that was requested by some religious organizations.	[[0.282,0.554,0.143,0.01,0.011]]	[0.282,0.554,0.143,0.01,0.011]	negative
24	Immigration authorities will consider housing transgender detainees based on the gender they identify with in the wake of criticism about detention conditions for the population, officials said on Monday.	[[0.272,0.571,0.128,0.014,0.015]]	[0.272,0.571,0.128,0.014,0.015]	negative
25	Technology industry leaders have urged NBA Commissioner Adam Silver to move the All-Star Game out of Charlotte unless a North Carolina law that limits anti-discrimination protections for lesbian, gay and transgender people is repealed "in very short order."	[[0.147,0.56,0.266,0.018,0.01]]	[0.147,0.56,0.266,0.018,0.01]	negative
26	In a memorandum issued by President Obama in Washington and in a speech by Secretary of State Hillary Rodham Clinton here, the administration vowed to actively combat efforts by other nations that criminalize homosexual conduct, abuse gay men, lesbians, bisexuals or transgendered people, or ignore abuse against them.	[[0.262,0.504,0.206,0.016,0.012]]	[0.262,0.504,0.206,0.016,0.012]	negative
27	The Latest on North Carolina lawmakers returning to work to address Charlotte's ordinance that lets transgender people choose men's and women's bathrooms according to the gender they identify with (all times local):	[[0.089,0.64,0.23,0.033,0.009]]	[0.089,0.64,0.23,0.033,0.009]	negative
28	Republican-led Kansas will challenge in court the Obama administration's directive that public schools allow transgender students to use the restroom that matches their gender identity, the state's attorney general said Wednesday, although he has not yet decided whether to join a lawsuit by 11 other states or sue separately.	[[0.163,0.652,0.145,0.025,0.016]]	[0.163,0.652,0.145,0.025,0.016]	negative
29	Lawyers for a transgender high school student in Virginia asked the U.S. Supreme Court on Tuesday to keep out of a legal dispute about bathroom rights, an issue that has emerged as an increasingly divisive one in the United States.	[[0.234,0.584,0.158,0.013,0.011]]	[0.234,0.584,0.158,0.013,0.011]	negative
30	A Portland bar owner violated Oregon's civil rights laws by denying service to a group of transgender and gay customers whose presence he said would damage his business, a state appeals court ruled on Wednesday.	[[0.231,0.564,0.157,0.03,0.018]]	[0.231,0.564,0.157,0.03,0.018]	negative
31	The transgender teenager needs treatment, not isolation.	[[0.089,0.659,0.223,0.023,0.007]]	[0.089,0.659,0.223,0.023,0.007]	negative
32	California prison officials have set the first standards in the nation for determining when transgender inmates should receive state-funded sex-reassignment surgery &#8212; a move that came after it spent years in court fighting to block the operations.	[[0.07,0.379,0.37,0.149,0.032]]	[0.07,0.379,0.37,0.149,0.032]	negative
33	A proposal barring transgender people in Texas from using the bathroom of their choice is unequivocally bad for business, a powerful state Republican legislator said Wednesday, in defiance of conservative leaders who have applauded the measure amid North Carolina's economic upheaval due to a similar law.	[[0.355,0.496,0.124,0.011,0.015]]	[0.355,0.496,0.124,0.011,0.015]	negative
34	A federal judge lobbed tough questions at GOP lawyers Monday as he considered whether to block a North Carolina legal measure governing transgender bathroom access, asking pointedly how the law was making people safer.	[[0.279,0.562,0.14,0.01,0.009]]	[0.279,0.562,0.14,0.01,0.009]	negative
35	A federal lawsuit says a transgender inmate was raped by a male cellmate after being locked up last year in New Orleans' new jail &#8212; a $150 million facility that the local sheriff said would be a major factor in ending the violence that resulted in federal court oversight.	[[0.22,0.571,0.173,0.021,0.014]]	[0.22,0.571,0.173,0.021,0.014]	negative
36	Lesbian, gay, bisexual and transgender rights activists said Tuesday they have been invited to meet with President Barack Obama on the sidelines of this week's Group of 20 summit in Russia.	[[0.265,0.604,0.115,0.007,0.01]]	[0.265,0.604,0.115,0.007,0.01]	negative
37	The United States embassy in Manila has turned down a request from Philippine authorities to hand over a Marine accused of the killing of a transgender Filipino, a move that could spark anti-American protest in the former U.S. colony.	[[0.328,0.539,0.104,0.013,0.016]]	[0.328,0.539,0.104,0.013,0.016]	negative
38	Chettri identifies herself as a transgender woman.	[[0.044,0.244,0.41,0.254,0.047]]	[0.044,0.244,0.41,0.254,0.047]	neutral
39	A southern California school district settled a claim with the federal government that alleged the district discriminated against a transgender student, officials said on Tuesday.	[[0.15,0.622,0.192,0.024,0.011]]	[0.15,0.622,0.192,0.024,0.011]	negative
40	A Mormon church-backed antidiscrimination law that protects gay and transgender people and religious rights has taken effect amid skepticism from some LGBT residents.	[[0.181,0.631,0.161,0.017,0.01]]	[0.181,0.631,0.161,0.017,0.01]	negative
41	Readers respond to a recent column Maureen Dowd on transgendered people.	[[0.044,0.326,0.482,0.124,0.023]]	[0.044,0.326,0.482,0.124,0.023]	neutral
42	Bradley Manning is the first transgender military inmate to ask for hormone treatments, officials say, a request that could lead to a legal showdown over how &#8212; and if &#8212; the soldier convicted in the WikiLeaks case will be allowed to live as a female behind bars.	[[0.201,0.649,0.129,0.011,0.01]]	[0.201,0.649,0.129,0.011,0.01]	negative
43	A U.S. Marine charged with killing a transgender Filipino woman he picked up in a bar was brought back Friday to the city where the attack occurred two months ago, and lawyers of the victim say they will seek his detention in a local jail during his murder trial.	[[0.227,0.635,0.119,0.01,0.009]]	[0.227,0.635,0.119,0.01,0.009]	negative
44	Gov. Dennis Daugaard plans to meet with a group of transgender people before he decides whether to make South Dakota the first state in the U.S. to require schoolchildren to use bathrooms and locker rooms that correspond to their sex at birth.	[[0.229,0.608,0.139,0.012,0.011]]	[0.229,0.608,0.139,0.012,0.011]	negative
45	Kansas vowed on Wednesday to sue the Obama administration over a directive telling U.S. public schools to allow transgender students to use bathrooms and locker rooms that correspond with their gender identities.	[[0.144,0.582,0.215,0.04,0.019]]	[0.144,0.582,0.215,0.04,0.019]	negative
46	The law, which restricts transgender bathroom use and pre-empts local governments from creating anti-discrimination policies, reflects a split in a state known as moderate.	[[0.276,0.577,0.105,0.023,0.02]]	[0.276,0.577,0.105,0.023,0.02]	negative
47	In New York's ballroom parties of the 1980s, gay and transgender blacks and Hispanics staged dance-offs and fashion contests for glory and cash prizes.	[[0.201,0.638,0.145,0.01,0.005]]	[0.201,0.638,0.145,0.01,0.005]	negative
48	KUMU HINA tells the inspiring story of Hina Wong-Kalu, a transgender native Hawaiia	[[0.049,0.147,0.146,0.496,0.162]]	[0.049,0.147,0.146,0.496,0.162]	positive
49	At 12:01 a.m. Tuesday, 1st Lt. Josh Seefried, who founded an undercover group of 4,000 gay, lesbian, bisexual and transgender active-duty service members, dropped his pseudonym.	[[0.179,0.667,0.128,0.016,0.01]]	[0.179,0.667,0.128,0.016,0.01]	negative
50	The Archdiocese of St. Louis is scaling back ties with the Scouts because of the organization’s support for transgender rights, homosexuality and other issues.	[[0.17,0.642,0.144,0.029,0.016]]	[0.17,0.642,0.144,0.029,0.016]	negative
51	Speaking at a news conference in Britain, President Obama criticized new laws limiting the rights of gay and transgender people.	[[0.187,0.66,0.131,0.013,0.009]]	[0.187,0.66,0.131,0.013,0.009]	negative
52	The Pentagon on Thursday ended its ban on openly transgender people serving in the U.S. military, formally removing the risk to an estimated thousands of U.S. troops who once could have been kicked out of the armed forces due to gender identity.	[[0.22,0.634,0.126,0.011,0.009]]	[0.22,0.634,0.126,0.011,0.009]	negative
53	Canada will introduce legislation to protect transgender people from discrimination, the prime minister said on Monday, as the political debate around such rights heats up in the United States.	[[0.18,0.581,0.136,0.071,0.031]]	[0.18,0.581,0.136,0.071,0.031]	negative
54	A percentage of the film's profits will be donated to the Trevor Project, a nationwide crisis and suicide prevention help line for lesbian, gay, bisexual, transgender and questioning youth.	[[0.178,0.58,0.174,0.046,0.022]]	[0.178,0.58,0.174,0.046,0.022]	negative
55	A leading Chinese sexologist's revelation that she's been living with a transgender man for 17 years has sparked a rare public discussion about China's largely invisible and marginalized transgender community.	[[0.006,0.015,0.257,0.634,0.088]]	[0.006,0.015,0.257,0.634,0.088]	positive
56	A transgender writer&#8217;s memoir of forgiveness and discovery.	[[0.025,0.133,0.393,0.406,0.043]]	[0.025,0.133,0.393,0.406,0.043]	positive
57	Three transgender seniors at a Pennsylvania high school are suing the school district over a new policy that requires students to use restrooms corresponding to their biological sex.	[[0.189,0.631,0.155,0.014,0.01]]	[0.189,0.631,0.155,0.014,0.01]	negative
58	The U.S. military turned over a Marine suspect in the gruesome killing of a transgender Filipino to the Philippine military's main camp in the capital Wednesday, easing a looming irritant over his custody, officials said.	[[0.185,0.61,0.176,0.019,0.009]]	[0.185,0.61,0.176,0.019,0.009]	negative
59	North Carolina business leaders on Tuesday called for a repeal of a new state law they blamed for mounting economic losses as opponents cancel jobs and events over concerns that it discriminates against gay and transgender people.	[[0.273,0.546,0.167,0.006,0.008]]	[0.273,0.546,0.167,0.006,0.008]	negative
60	Statewide regulations that protect transgender people from discrimination, established through an executive action by Gov. Andrew Cuomo, set an important example for the rest of the country.	[[0.171,0.372,0.147,0.154,0.157]]	[0.171,0.372,0.147,0.154,0.157]	negative
61	Police are asking residents of a northwest Baltimore neighborhood and members of the LGBT community for information on the fatal shooting of a transgender woman.	[[0.1,0.504,0.344,0.038,0.014]]	[0.1,0.504,0.344,0.038,0.014]	negative
62	The Latest on a federal lawsuit in which a transgender former New Orleans jail inmate claims she was raped by a male inmate at the jail that opened last September (all times local):	[[0.074,0.592,0.315,0.014,0.004]]	[0.074,0.592,0.315,0.014,0.004]	negative
63	Being transgender today is still unreasonably hard, but it is far from hopeless.	[[0.119,0.585,0.251,0.033,0.012]]	[0.119,0.585,0.251,0.033,0.012]	negative
64	Musician Ringo Starr said on Wednesday he was canceling a performance planned for June in Cary, North Carolina, in protest of a state law decried as discriminatory against the lesbian, gay, bisexual and transgender community.	[[0.241,0.591,0.145,0.011,0.012]]	[0.241,0.591,0.145,0.011,0.012]	negative
65	The rough edges may be gone at the Lesbian, Gay, Bisexual and Transgender Community Center in Manhattan, but disco balls will remain.	[[0.123,0.501,0.281,0.071,0.025]]	[0.123,0.501,0.281,0.071,0.025]	negative
66	North Carolina's governor on Tuesday made his latest attempt at convincing legislators to repeal a law that restricts bathroom access for transgender people, while more than 140 entertainers called a similar measure proposed in Texas "a poison."	[[0.176,0.616,0.191,0.01,0.008]]	[0.176,0.616,0.191,0.01,0.008]	negative
67	North Carolina's attorney general says he sees no need for the state legislature to overturn a provision in Charlotte's new nondiscrimination ordinance designed to ensure transgender people can use the restroom of their gender identity.	[[0.131,0.607,0.222,0.029,0.012]]	[0.131,0.607,0.222,0.029,0.012]	negative
68	The Latest on an Ohio school district accused of sex-based discrimination against a transgender student (all times local):	[[0.092,0.594,0.297,0.013,0.004]]	[0.092,0.594,0.297,0.013,0.004]	negative
69	Mr. Holder will help create an anti-discrimination policy for Airbnb, whose hosts have been accused of excluding blacks and transgender people.	[[0.086,0.401,0.336,0.138,0.038]]	[0.086,0.401,0.336,0.138,0.038]	negative
70	U.S. security escorts were delaying handing over a U.S. Marine convicted of killing a transgender woman to Philippine police who had been ordered to bring him to the national penitentiary to serve his sentence, a lawyer for the victim said on Tuesday.	[[0.135,0.675,0.168,0.014,0.007]]	[0.135,0.675,0.168,0.014,0.007]	negative
71	Mumbai's lesbian, gay, bisexual and transgender citizens will soon be able to drive private taxis in the city, in a sign of the increasing acceptance of the marginalised community in India's commercial capital.	[[0.086,0.551,0.291,0.058,0.014]]	[0.086,0.551,0.291,0.058,0.014]	negative
72	Federal authorities told North Carolina's governor on Wednesday that a new state law limiting restroom access for transgender people violates the U.S. Civil Rights Act.	[[0.202,0.622,0.138,0.023,0.016]]	[0.202,0.622,0.138,0.023,0.016]	negative
73	A U.S. appeals court on Tuesday denied a motion to reconsider its ruling that gave a Virginia transgender high school student  access to the bathroom of his gender identity.	[[0.066,0.319,0.343,0.232,0.04]]	[0.066,0.319,0.343,0.232,0.04]	neutral
74	A New Hampshire woman believed to be the first transgender person elected to a state legislature was charged Thursday with calling in a bomb threat to a hospital, police said.	[[0.113,0.631,0.218,0.026,0.011]]	[0.113,0.631,0.218,0.026,0.011]	negative
75	Transgender people barred under a new North Carolina law from choosing bathrooms consistent with their gender identity filed a federal lawsuit on Monday, arguing the measure was discriminatory and threatened their personal safety.	[[0.304,0.543,0.086,0.032,0.034]]	[0.304,0.543,0.086,0.032,0.034]	negative
76	Temples and synagogues affiliated with the nation's largest Jewish movement should take specific steps to embrace transgender people, a U.S. conference of Reform Jews urged on Thursday in approving a groundbreaking resolution.	[[0.242,0.608,0.1,0.026,0.024]]	[0.242,0.608,0.1,0.026,0.024]	negative
77	The government has waded into cases involving legal aid, transgender students, juvenile prisoners and people who take videos of police officers.	[[0.131,0.589,0.194,0.066,0.021]]	[0.131,0.589,0.194,0.066,0.021]	negative
78	Sharon Weir may not be happy that her son is openly gay and identifies himself as transgender, but she will fight for his right to exist in peace.	[[0.08,0.499,0.364,0.046,0.011]]	[0.08,0.499,0.364,0.046,0.011]	negative
79	A 16-year-old transgender girl being held at a boys' detention center alleged that staff members are repeatedly referring to her by her male birth name and male pronouns, forcing her to wear boys' uniforms and banning her from wearing her wig and makeup.	[[0.245,0.58,0.156,0.011,0.009]]	[0.245,0.58,0.156,0.011,0.009]	negative
80	The San Francisco metro area has the highest percentage of people who identify as gay, lesbian, bisexual or transgender — but not the largest number.	[[0.12,0.688,0.17,0.016,0.006]]	[0.12,0.688,0.17,0.016,0.006]	negative
81	Officials from organizations representing lesbian, gay, bisexual and transgender Catholics requested a meeting with Pope Francis, saying that their members have felt a resurgence of hope for full acceptance in the church.	[[0.166,0.66,0.157,0.01,0.007]]	[0.166,0.66,0.157,0.01,0.007]	negative
82	Many schools have crafted policies that require transgender students to use private changing and showering facilities, drawing complaints of discrimination.	[[0.084,0.536,0.309,0.057,0.014]]	[0.084,0.536,0.309,0.057,0.014]	negative
83	The city's first openly gay councilman is offering his support to youth who are struggling with being lesbian, gay, bisexual or transgender.	[[0.078,0.435,0.307,0.149,0.031]]	[0.078,0.435,0.307,0.149,0.031]	negative
84	This MJ Kaufman play centers on a transgender character who finds solace in an enormous tree as he deals with issues of identity, intimacy and family.	[[0.091,0.429,0.307,0.137,0.036]]	[0.091,0.429,0.307,0.137,0.036]	negative
85	Laverne Cox will host a documentary on MTV and Logo next month that profiles seven young transgender people.	[[0.087,0.423,0.267,0.174,0.049]]	[0.087,0.423,0.267,0.174,0.049]	negative
86	Renowned violinist Itzhak Perlman on Tuesday became the latest entertainer to cancel a performance in North Carolina to protest against the state's law requiring transgender people to use public bathrooms that match their sex at birth.	[[0.217,0.645,0.114,0.012,0.012]]	[0.217,0.645,0.114,0.012,0.012]	negative
87	A transgender woman in Pakistan was shot for refusing to have sex with attackers who broke into her home, in the latest in a series of assaults on trans people, police said.	[[0.069,0.612,0.271,0.039,0.01]]	[0.069,0.612,0.271,0.039,0.01]	negative
88	Abandoned by family and mocked by their society, the life of a Pakistani transgender is lonely.	[[0.102,0.467,0.217,0.163,0.051]]	[0.102,0.467,0.217,0.163,0.051]	negative
89	Faith leaders have overwhelmingly expressed grief over the loss of life in Orlando but it has been less common for religious conservatives to note that the gunman specifically targeted lesbian, gay, bisexual and transgender people.	[[0.12,0.595,0.244,0.03,0.011]]	[0.12,0.595,0.244,0.03,0.011]	negative
90	Arkansas lawmakers said Tuesday they're working on a "bathroom bill" targeting transgender people, despite warnings from the Republican governor that such a measure isn't needed and could harm the state.	[[0.278,0.595,0.106,0.011,0.011]]	[0.278,0.595,0.106,0.011,0.011]	negative
91	Voters in the San Francisco Bay Area elected the first transgender trial judge in the country.	[[0.087,0.513,0.295,0.081,0.023]]	[0.087,0.513,0.295,0.081,0.023]	negative
92	Gay, lesbian, bisexual and transgender people are the targets of unchecked violence and discrimination in Jamaica, frequently refused housing or employment in the Caribbean country typically described as the region's most hostile to LGBT citizens, a leading human rights group says in a report released Tuesday.	[[0.599,0.298,0.09,0.003,0.009]]	[0.599,0.298,0.09,0.003,0.009]	very negative
93	The New York Cycle Club, the Five Borough Bicycle Club and Fast and Fab, a lesbian, gay, bisexual and transgender bike club, are some of those that lead outings and other events year round.	[[0.305,0.554,0.119,0.012,0.01]]	[0.305,0.554,0.119,0.012,0.01]	negative
94	The White House has hired its first openly transgender employee, according to a U.S. official, winning praise from activists for President Barack Obama's support for lesbian, gay and transgender people.	[[0.255,0.642,0.064,0.023,0.016]]	[0.255,0.642,0.064,0.023,0.016]	negative
95	Texas will file a lawsuit aimed at stopping the Obama administration's guidance to U.S. public schools this month that transgender students must be allowed to use the bathroom of their choice, Republican Governor Greg Abbott said on Wednesday.	[[0.16,0.642,0.163,0.022,0.013]]	[0.16,0.642,0.163,0.022,0.013]	negative
96	A legal dispute over the right to use a school bathroom is unfolding in Colorado as other states seek to clarify their policies relating to transgender students.	[[0.12,0.666,0.178,0.025,0.011]]	[0.12,0.666,0.178,0.025,0.011]	negative
97	In the days following the slayings of 49 people at a gay nightclub, members of the lesbian, gay, bisexual and transgender (LGBT) community pulled together in prayer vigils and benefit drag shows and basked in a broad showing of support many said they had never experienced.	[[0.152,0.578,0.222,0.038,0.011]]	[0.152,0.578,0.222,0.038,0.011]	negative
98	An Episcopal chaplain on Sunday became the first openly transgender priest to preach at the historic National Cathedral in Washington D.C.	[[0.119,0.608,0.2,0.052,0.021]]	[0.119,0.608,0.2,0.052,0.021]	negative
99	Los Angeles Lesbian, Gay, Bisexual and Transgender Centre welcomes Bruce Jenner's transition to Caitlyn at a crucial time.	[[0.238,0.462,0.092,0.113,0.095]]	[0.238,0.462,0.092,0.113,0.095]	negative
100	Thousands marched along Istanbul's most popular pedestrian walkway on Sunday, demanding better treatment and equal rights for lesbian, gay, bisexual and transgender individuals and communities.	[[0.151,0.53,0.218,0.068,0.033]]	[0.151,0.53,0.218,0.068,0.033]	negative
101	The employees of Babeland, an adult toy store in New York City, voted to join a labor union, citing common issues and others specific to their work and to transgender employees.	[[0.228,0.33,0.095,0.174,0.174]]	[0.228,0.33,0.095,0.174,0.174]	negative
102	When transgender woman Maya K.C. sought help at a relief camp in the ruins of Nepal's capital after a devastating earthquake, she was quickly made to feel as though she did not belong.	[[0.233,0.538,0.207,0.014,0.008]]	[0.233,0.538,0.207,0.014,0.008]	negative
103	A judge in Virginia has dismissed part of a lawsuit filed by a transgender student barred from using the boys' bathrooms at his high school.	[[0.09,0.541,0.26,0.087,0.023]]	[0.09,0.541,0.26,0.087,0.023]	negative
104	A transgender British woman jailed in a men's prison lost an appeal of her sentence Friday, but judges urged the prison service to consider moving her to a women's facility.	[[0.161,0.606,0.183,0.032,0.018]]	[0.161,0.606,0.183,0.032,0.018]	negative
105	As a transgender woman who began her transition about a year ago, Kylie Jack is still figuring out her fashion style, but she wanted one thing right away: well-fitting bras.	[[0.013,0.043,0.165,0.662,0.117]]	[0.013,0.043,0.165,0.662,0.117]	positive
106	Transgender people in Norway should be allowed to change their legal gender without having to undergo mandatory genital removal surgery and sterilization, a group of experts said on Friday.	[[0.363,0.496,0.122,0.008,0.011]]	[0.363,0.496,0.122,0.008,0.011]	negative
107	A military prison psychologist has refused to recommend that Chelsea Manning's gender be changed to female in her Army service record, complicating the transgender soldier's quest to wear a feminine hairstyle at the men's prison where she is serving a 35-year sentence for leaking classified information, according to a court document.	[[0.323,0.566,0.088,0.012,0.01]]	[0.323,0.566,0.088,0.012,0.01]	negative
108	Texas lawmakers could hurt the football-loving state's chances to attract a future Super Bowl if they adopt a measure that restricts access to bathrooms for transgender people, a National Football League spokesman said on Friday.	[[0.145,0.652,0.182,0.013,0.007]]	[0.145,0.652,0.182,0.013,0.007]	negative
109	Kentucky businesses could refuse services to gay, lesbian or transgender clients in the name of protecting religious beliefs under a bill advancing in the state Senate.	[[0.232,0.568,0.164,0.021,0.015]]	[0.232,0.568,0.164,0.021,0.015]	negative
110	A man accused of killing a Southern California transgender activist and dumping her body behind a fast-food restaurant was charged with murder on Thursday, but prosecutors said they lacked evidence to prove the case was a hate crime.	[[0.527,0.338,0.111,0.008,0.016]]	[0.527,0.338,0.111,0.008,0.016]	very negative
111	Readers address Ms. DeVos’s wealth, how she would treat transgender students and her support for charter schools.	[[0.032,0.114,0.267,0.469,0.118]]	[0.032,0.114,0.267,0.469,0.118]	positive
112	An annual study by GLAAD has found that Hollywood studios continue to lag in producing films representing gay, lesbian, bisexual and transgender people, despite a slight improvement over the last year.	[[0.139,0.54,0.212,0.079,0.03]]	[0.139,0.54,0.212,0.079,0.03]	negative
113	A Virginia school board can block a transgender male from using the boys restroom when school starts next month, the U.S. Supreme Court ruled Wednesday.	[[0.177,0.639,0.132,0.034,0.018]]	[0.177,0.639,0.132,0.034,0.018]	negative
114	Canada's Liberal government introduced legislation on Tuesday to protect transgender people from discrimination and hate crimes, a move that comes as the push for such rights has sparked controversy in the United States.	[[0.249,0.616,0.102,0.019,0.015]]	[0.249,0.616,0.102,0.019,0.015]	negative
115	Also on the Minute, an audit of U.S. aid to Afghanistan and Barneys New York launches a transgender ad campaign.	[[0.125,0.662,0.153,0.043,0.017]]	[0.125,0.662,0.153,0.043,0.017]	negative
116	The move came in response to passage of a Charlotte ordinance letting transgender people use public bathrooms that correspond with their gender identity.	[[0.085,0.338,0.241,0.267,0.069]]	[0.085,0.338,0.241,0.267,0.069]	negative
117	A church in Des Moines has filed a federal lawsuit seeking to strike down as unconstitutional a portion of a 2007 Iowa law and a similar Des Moines city code section that could apply transgender bathroom rules to churches.	[[0.234,0.573,0.149,0.027,0.016]]	[0.234,0.573,0.149,0.027,0.016]	negative
118	Republican leaders in North Carolina on Thursday refused to back down from a law regulating which restrooms can be used by transgender people after the federal government told the state the law violated the U.S. Civil Rights Act.	[[0.226,0.621,0.115,0.021,0.017]]	[0.226,0.621,0.115,0.021,0.017]	negative
119	The Latest on a federal judge's ruling rejecting an Ohio school district's challenge to President Barack Obama's rule on transgender bathrooms (all times local):	[[0.063,0.504,0.403,0.024,0.006]]	[0.063,0.504,0.403,0.024,0.006]	negative
120	Sports network ESPN fired former baseball player Curt Schilling after reports of recent anti-transgender comments on social media.	[[0.064,0.46,0.392,0.068,0.016]]	[0.064,0.46,0.392,0.068,0.016]	negative
121	Laverne Cox realizes she is having a winning moment as a transgender actor in entertainment &#8212; including a recent Emmy nomination &#8212; and she hopes her story will continue to inspire others.	[[0.002,0.002,0.013,0.718,0.265]]	[0.002,0.002,0.013,0.718,0.265]	positive
122	Insurance companies would not be allowed to discriminate against transgender patients under a bill passed by the Hawaii Legislature.	[[0.208,0.557,0.185,0.032,0.019]]	[0.208,0.557,0.185,0.032,0.019]	negative
123	The fight over bathroom rights for transgender students escalated in Texas on Tuesday as the state's lieutenant governor urged schools to defy the Obama administration while parents of transgender children accused Republican leaders of stoking intolerance and making their kids targets for bullying.	[[0.264,0.526,0.189,0.012,0.009]]	[0.264,0.526,0.189,0.012,0.009]	negative
124	Hornets co-owner Felix Sabates has blasted the NBA&#8217;s decision to move the 2017 All Star Game out of Charlotte, North Carolina due to its objections to a state law decried as discriminatory against the lesbian, gay, bisexual and transgender community.	[[0.331,0.555,0.095,0.007,0.012]]	[0.331,0.555,0.095,0.007,0.012]	negative
