id	context	predictions	aggregatedPredictions	category
13	The psychiatrist who was one of the first to try to meet cross-dressers, transsexuals and transgender people on their own turf, on their own terms.	[[0.105,0.48,0.321,0.072,0.022]]	[0.105,0.48,0.321,0.072,0.022]	negative
14	From the FBI agent tripping on acid to the action film star marrying a transsexual, the Sunday night Showtime drama "Ray Donovan" has served up its share of bizarre twists.	[[0.126,0.586,0.239,0.035,0.014]]	[0.126,0.586,0.239,0.035,0.014]	negative
15	Three young Native Americans, an adopted Christian girl, a rebellious father-to-be, and a promiscuous transsexual, strive to escape the hardships of life on an Indian reservation.	[[0.217,0.422,0.139,0.126,0.095]]	[0.217,0.422,0.139,0.126,0.095]	negative
16	LIFE IS HOT IN CRACKTOWN shows the gritty, hard realities of a neighborhood, as well as the struggling, proud people who try to survive them everyday.Marybeth (Kerry Washington) is a pre-op transsexual working as a prostitute and living with h	[[0.249,0.514,0.087,0.086,0.064]]	[0.249,0.514,0.087,0.086,0.064]	negative
17	Pietro Marcello’s documentary “The Mouth of the Wolf,” filmed in Genoa, Italy, tells the story of a man and his transsexual partner who fell in love while they were in prison.	[[0.342,0.514,0.107,0.017,0.02]]	[0.342,0.514,0.107,0.017,0.02]	negative
18	New Russian road safety regulations bar transsexuals, transvestites and others with sexual "disorders" from driving, ostensibly for medical reasons.	[[0.064,0.431,0.37,0.113,0.022]]	[0.064,0.431,0.37,0.113,0.022]	negative
19	A 22-year-old Venezuelan was crowned "Miss International Queen" on Friday night at a beauty contest that bills itself as the world's largest and promotes the rights of transsexuals and transvestites.	[[0.152,0.583,0.183,0.058,0.025]]	[0.152,0.583,0.183,0.058,0.025]	negative
20	The Vatican told a Spanish bishop that transsexuals cannot be godparents after he asked for a formal answer on the matter, the cleric in the diocese of Cadiz and Ceuta said.	[[0.135,0.648,0.195,0.014,0.008]]	[0.135,0.648,0.195,0.014,0.008]	negative
21	Pope Francis said on Sunday that homosexuals and transsexuals should be treated with respect but that teaching gender theory is unacceptable "indoctrination" of young people.	[[0.159,0.597,0.188,0.037,0.019]]	[0.159,0.597,0.188,0.037,0.019]	negative
22	7:15 P.M. (HBO Signature) TRANSAMERICA (2005) Felicity Huffman plays Bree, a preoperative transsexual who, though still technically a man, passes for a woman through the use of tasteful pink outfits, meticulously applied makeup and a breathy voice.	[[0.389,0.53,0.068,0.004,0.009]]	[0.389,0.53,0.068,0.004,0.009]	negative
23	Eddie Redmayne said transgender people helped him prepare for his portrayal of transsexual pioneer Lili Elbe in "The Danish Girl" that opened on Saturday at the Venice Film Festival, even if no transgender person got the main role.	[[0.107,0.512,0.241,0.108,0.032]]	[0.107,0.512,0.241,0.108,0.032]	negative
24	Transgender and transsexual women and men and their supporters gathered outside Tribeca Cinemas Tuesday evening to demand the removal of what they called a transphobic film from the Tribeca Film Festival lineup.	[[0.106,0.639,0.213,0.031,0.012]]	[0.106,0.639,0.213,0.031,0.012]	negative
25	A mixed-race police officer with painted toenails has accused fellow officers in a New York Police Department scuba unit of discriminating against him by calling him a transsexual and a descendant of slaves.	[[0.212,0.576,0.142,0.044,0.026]]	[0.212,0.576,0.142,0.044,0.026]	negative
26	Eddie Redmayne said he finds the lack of progress on transgender rights in the past century 'shocking' after playing 1920s transsexual pioneer Lili Elbe in his new film "The Danish Girl".	[[0.195,0.613,0.159,0.022,0.011]]	[0.195,0.613,0.159,0.022,0.011]	negative
27	“Beautiful Darling,” James Rasin’s documentary about the transsexual Warhol “superstar” Candy Darling, is also a meditation on the worship of movie stars.	[[0.001,0.001,0.052,0.629,0.317]]	[0.001,0.001,0.052,0.629,0.317]	positive
28	In "Hit and Miss," a new series that will be shown on the satellite service DirecTV, she portrays a character named Mia who is a hired assassin as well as a pre-op transsexual.	[[0.145,0.505,0.241,0.082,0.026]]	[0.145,0.505,0.241,0.082,0.026]	negative
29	A respectful adaptation of the 2001 documentary of the same name, “Southern Comfort” chronicles the final year in the life of Robert Eads, a female-to-male transsexual who has ovarian cancer.	[[0.114,0.548,0.201,0.101,0.035]]	[0.114,0.548,0.201,0.101,0.035]	negative
30	A video promoting Tel Aviv's Gay Pride Parade featuring Israeli transsexual star Dana International dancing suggestively in a synagogue in front of children has been taken offline after the parents of one of the youngsters claimed they did not provide consent to participate.	[[0.183,0.645,0.139,0.02,0.013]]	[0.183,0.645,0.139,0.02,0.013]	negative
31	This year's celebration protested against transphobia and participants made reference to a parliamentary motion signed by the suspended President Dilma Rousseff in April, which allows people to identify their gender as transsexual in official federal administration.	[[0.208,0.52,0.198,0.042,0.031]]	[0.208,0.52,0.198,0.042,0.031]	negative
32	Students at Connecticut's Trinity College have canceled a concert by rapper Action Bronson, saying his music and videos promote misogyny and hatred against gay and transsexual people.	[[0.657,0.287,0.047,0.002,0.008]]	[0.657,0.287,0.047,0.002,0.008]	very negative
33	IF there is one thing in Givenchy's new fall ad campaign that caught our attention, it is not, alas, the presence of a transsexual model named Lea T. -- a casting decision that has caused much blog buzz.	[[0.195,0.586,0.188,0.018,0.013]]	[0.195,0.586,0.188,0.018,0.013]	negative
34	Tony Sheldon, who played the role of the transsexual Bernadette - on Broadway as well as previous productions in Australia, Toronto and London's West End - was also nominated for leading actor in a musical. ''	[[0.093,0.456,0.251,0.159,0.042]]	[0.093,0.456,0.251,0.159,0.042]	negative
35	Turkish rights activists reacted angrily to a government measure that has led to the segregation of lesbian, gay and transsexual prisoners to protect them from harassment and attacks while in jail.	[[0.198,0.613,0.127,0.036,0.025]]	[0.198,0.613,0.127,0.036,0.025]	negative
36	A sort-of mockumentary about a transsexual rock star as she tours through America.	[[0.089,0.487,0.245,0.139,0.04]]	[0.089,0.487,0.245,0.139,0.04]	negative
